0;0;0;50.5100489;14.0597794
1;1;4700;50.5277786;14.0183083
2;2;12900;50.4902000;13.9847258
3;3;23600;50.4340897;14.0146519
4;4;28400;50.4056639;14.0423333
5;5;33400;50.3851433;13.9932867
6;6;44600;50.3247522;13.9092664
7;7;50700;50.2822222;13.9061114
8;8;63500;50.2501908;13.7987058
9;9;71500;50.2415142;13.7116500
10;10;89400;50.1529900;13.7795400
11;11;96500;50.1215581;13.7377664
12;12;104700;50.0982939;13.6540492
13;13;119900;50.0946078;13.4755928
14;14;131900;50.0444564;13.3749769
15;15;136100;50.0117061;13.3746025
16;16;145600;49.9566908;13.3930603
17;17;149800;49.9326869;13.3861528
18;18;156200;49.8943342;13.3278314
19;19;170000;49.8028181;13.3414897
20;20;173900;49.7822606;13.3726042
